entry,defid,word,author,definition,example,thumbs_up,thumbs_down
aayla secura,4095151,Aayla Secura,RainbowNinja,"""Er, I…didn't quite catch that. Got…distracted…""
―The response of any person to ever speak to Aayla Secura, ever

Aayla Secura

Biographical information
Homeworld: Ryhot, err, [Ryloth]
Born: Wow, those breasts, um, 40 BBY
Died:	She's way to hot to die! (official story is that she was

shot about 56 times by a bunch of horny clones)

Physical description
Species: [Twi'lek]
Gender: Hot Female
Height: Sexy
Hair color: Blue Brain tails
Eye color: Green

Aayla Secura was a female [Jedi] who was also a Twi'lek. She is most famous for being drooled over by [fanboys] (and possibly some fangirls), who often had dreams of getting her in bed. However, she married non-fanboy [Grover] in the end and, to the dismay of the galactic populace, began to dress modestly. As she was a Twi'lek, this meant very little change in her wardrobe but the change was enough to send her followers into a spiral of despair.
Personally, I just don't see what those fanboys see in...mmm, that sexy ass... and those boobs!

Aayla Secura was born into the Cult of St. Noodlehead, the state-sponsored church on Ryloth. As a teenager she became dissatisfied with its feminist leanings and converted to G*nkism. Despite her career with the Jedi, she persisted in loyalty to it even unto death. But she didn't die! (Yes, she did die. Tough luck, fanboys. Now go get a life.)

During the Clone wars Aayla boosted the moral of her troops up to an unprecedented summit by undressing in the jungle.( [Obi-wan] tried this, and it resulted in 3/4 of the clone army under his command needing replacing, after a massive spate of suicides. The other 1/4, well...Wookiee-Nookie abounded..) Needless to say when [Order 66] was executed half of her squad committed suicide, the other half vowed revenge on [Supreme Chancellor Palpatine], leaving only two [Mandalorian] mercenaries of the entire squad alive, those mercenaries were....yes you guessed it Goran Beviin and Medrit Vasur.

Together, she and her fuzzy, blue husband went on to have 199 children. So, Aayla Secura might be your grandma, she just might. About her and Grover's relations...as many fanboys as there are Jax Pavans, to be precise, have wanted to ""trade places with"" her husband, wanting Aayla to provide some place to put their...uh...let's not go there.

Well...below are some notable results of their relations:
Karen
weirdo
Jax Pavan 20,394
And the most notable of all...
[Thrawn]","Star Wars Fanboy1: Man I'd like to show Aayla my [lightsaber] if you know what I mean.

Star Wars Fanboy2: What are you talking about man she mastered the fourth form of lightsaber combat, Ataru, and had some skill in Form V, as well as being a user of Jar'Kai. Not to mention training under [Quinlan Vos] a highly respected [Jedi Master]. She would totally kick your ass at a duel.

Star Wars Fanboy1: Dude you need to get laid...

Aayla Secura is a Sex Goddess with lightsabers.",70,9
aarshi,6082206,aarshi,kitkatRs12only,sweet little babe who's way too cool for her friends!!,"Oh my God, look aarshi's got the new BB Bold 4.",4,0
aaaaoooowwww,4878060,aaaaoooowwww,Jak & Suzanne,"The expression of the inner wild thing. Usually communicating joy, excitement and love or occasionally even pain, fear and sorrow. Derived from wolf cries, this calling may be related, yet not exclusively, to werewolves. Can be used as a greeting.","Wild Thing 1: WOAH! This sunset is EPIC!
Wild Thing 2: AAAAOOOOWWWW!
Wild Thing 1: AAAAOOOOWWWW!",8,2
afgeleberde paarde lul,2123744,afgeleberde paarde lul,Big TJ,The Dutch term for a sucked off horses penis.  Possibly one of the most humiliating words that someone can call you as you can imagine.,"As the group were stood in the pub Rob shouted at the top of his voice to Kevin ""You are an afgeleberde paarde lul!"" Met by the whole pub with roars of laughter, Kevin left his drink and went home humiliated.

Also used when someone comes in from the rain - Jesus Franco your as wet as a sucked of horses cock!",3,2
aaron bowen,7943440,Aaron Bowen,opr8rasfock,Douche bag communist liberal hipster jew that always thinks he is right when he really knows nothing. Someone that also drives a red car with their name on the back window.,"Person 1: God I fucking hate that guy
Person 2: yea he is a real Aaron Bowen

Person 1: I wish he would just get in a wreck with that douche car of his and becomes brain dead.",5,0
aamir,5712405,Aamir,TheStaleMilk,"Noun. An Aamir is typically a sexy beast of Pakistani or Indian origin. Aamirs smoke kush almost everyday, but only with rappers such as Snoop Dogg and Nate Dogg (R.I.P.) or occasionally 50 Cent. Aamirs usually do not get laid, however, because their dicks are so large that they penetrate too far in the woman's [bajingo]. Aamirs also tend to be very successful in life, usually as rich businessmen who own and distribute bitches.","Man, that guy is such an Aamir. He took a Viagra instead of an Aspirin and his huge dick fucked the universe.",163,80
aamir,5900164,Aamir,bobbyjindal123,"a dude with a lot of potential in life, who can do anything he pleases. many refer to him as a king, or master, but some refer to him as God.","Girl 1: Aamir is too good for me.

Girl 2: He can rule me anyday!",97,42
aapris,5412574,Aapris,IFEACHO,"Aapris is the word for a beautiful half Korean, half white girl who is confident, sexy, stunning, extremely intelligent and sexually adventurous.","Aapris blew my mind last night over drinks when she explained the symbiotic relationship between Azobacter and legumes that allow Nitrogen fixation to occur, then gave me the best head I ever had.",1,1
aaron sugarman,4922889,Aaron Sugarman,Wickedpissahsox,A kid at BHS who's love for ass is only larger than his collection of long sleeve shirts and various Boston related apparel.,"That kid's an Aaron Sugarman.

It's 80 degrees out but he's still wearing a long sleeve shirt, what an Aaron Sugarman.",5,3
aajonus vonderplanitz,5732035,Aajonus Vonderplanitz,the coolest mofo yes I am,"The raddest fucking dude alive, even radder than Van Wilder; ate rotten meat on Ripley's Believe It or Not; bit into raw chicken on The Doctors; raw foodist of over 30 years based in Southern California; alternative health practitioner, iridolgist, health counselor, author of We Want To Live: The Primal Diet and The Recipe For Living Without Disease; has survived numerous attempts on his life due to the risk his information poses to the pharmaceutical and food industries.","Me: Hey, dude. Did you meet Chuck Norris's brother?

You: No, dude. Where is he?

Me: He's the raddest fucking dude alive over there in the corner eating the big jar of decades old, rainbow-colored rotten organ meat soup. His name's Aajonus Vonderplanitz.

You: Duuuuudee, that's Chuck Norris's brother!

Me: Damn right. sssstsmn.",15,5
aan,5785567,AAN,ilikepie12322,Ask a Ninja :D,"Gary: Ok Peet imma go watch AAN naw, Bai

Peet: Ok Gary Baai",2,1
aan,2310150,aan,Randolf Cunningham,"Anti-Anorexic Nation, a state of mind adopted by inner-city females who fervently practice eating a lot and getting fat.  Originating in New York, youths who identify themselves as an ""Aan"" are typically overweight and lazy.","Whenever Aan gets on a digital scale, it displays ""one person at a time please"".",3,4
aardvarking,5254740,aardvarking,minivanhalen,When two men touch their penises together tip to tip and one man rolls the foreskin of his penis over the penis of the other man. It is necessary that one man is uncircumcised.,"OMG, those two dudes are totally aardvarking each other.",40,31
aardvarking,3831523,Aardvarking,md5375,When a man lies on his stomach with pillows propping up his hips and a woman licks the back of his ball bag and has her nose in his ass while the guy makes noises like an anteater.,My mom walked in on me and my girlfriend aardvarking and scared my gf so bad that she sneezed in my asshole.,31,34
aardvarking,6732216,aardvarking,dj k-swerve,"when a person of the male species crushes psychotherapy pills and snorts them through his wiener, like a vacuum.","After sex, Amanda watched her boyfriend aardvarking.",14,17
aardvarking,1457054,aardvarking,Edward Thomas Nelson III,Term for sexual intercourse may refer to vaginal intercourse (coitus) or anal intercourse,Billy and Jane were aardvarking in the dugout.,40,46
aardvarking,3831338,Aardvarking,md5375,When a man lies on his stomach with pillows propping up his hips and a woman licks the back of his ball bag and has her nose in his ass while the guy makes noises like an anteater.,My mom walked in on me and my girlfriend aardvarking and scared my gf so bad that she sneezed in my asshole.,4,30
aaniyah,7057222,Aaniyah,Snowflake5500,"A very pretty girl who can be a great friend, but cross her and she'll be a huge bitch. She needs emotional support and someone to depend on but it's all worth it because she will always make you smile.","Dude 1: DAYUMMM!! Look at that hot peice of ass!

Dude 2: Yup that's a total Aaniyah!",24,3
aakash nidhi,6326044,aakash nidhi,Sheila Munni Chikni,It is an adjective used to define a couple wherein athe guy is like a dog to the girl.,The guy just licked the girl shoes. That is just Aakash Nidhi.,1,5
aazim,4118219,aazim,Zcannon,a reference to a brown stud typically north Indian but nevertheless can apply to any brown person .,"wow that aazim that just walked in you see him?
who didn't?",4,1
aadrama,3110278,aadrama,Marc A,The site that holds all that is drama in Americas Army.  Current moderator is hobo.,I went to aadrama.team-ki.com/forums yesterday and I was amazed at all the drama!,25,6
aarun,5158678,Aarun,:D jess,"usually very athletic guy, cute adorable, fit, great face structure but can be very determined\stubburn always smells good and an amazing kisser and tends to have a sensitive side",heess haawwwt...nahh hes AARUN,23,13
aakshi,7088212,Aakshi,Oompaloompa545,"Adj.

A beautiful girl who is shy, but can be outspoken. She is petite, yet very clumsy. She tries to please everyone by being smart, organized, pretty, and athletic, when really, she would much rather be a lone wolf that read all day. She is ambitious and sexy. Boys fall over their own feet when she is around. She is kind and sensitive. She can hold a grudge and is very sly and secretive.","She is so aakshi i could die.

I would rather die than not be aakshi.

I wish i was aakshi, but instead I am unattractive and an open book
[sexy] [attractive] [secretive]",5,0
aaron-real,5768466,Aaron-Real,fotoaesthetics,The shit.,"Girl 1: Hey, do you know Aaron-Real?

Girl 2: Oh yea, I do. He's the shit.",6,1
aafes,775798,AAFES,Joseph,Army Air Force Exchange Service,lets go shop at AAFES theres no taxes,101,56
aafes,1780768,AAFES,ltnbrn,"Pronounced ""ay-feez""; acronym for Army and Air Force Exchange Service. A military department store similar to Wal-Mart, Target, JC Penney, or the like. Merchandise varies from store to store, and many offer name-brand items lower than the general retail price. (E.g., Coach purses) AAFES also imposes no sales tax. This is to provide a benefit to service members and their families, many of whom are often underpaid when compared to their civilian counterparts.","""AAFES' mission is to provide quality merchandise and services at uniformly low prices.""",36,14
aafes,2830925,AAFES,XBOX SUCKS,Asian American Female Employment Services,"My girls Laquita,Maria,and Britnney applied for a job at the AAFES and the fuckers wouldnt hire them.",43,22
aafes,1910517,AAFES,jukejointjezebel,"A great place to work if you enjoy having to deal with BMW's(big military wifes) and managment that treat their employees like garbage. Terrible place to shop for clothes, awful selection.",Today I went to the PX to buy some clothes but all they had was ugly ghetto hip-hop clothes and Tommy Hilfiger rags! screw Aafes!,37,19
aafes,1877759,AAFES,angryboy,Army Air Force Extortion Society. Since military bases are always in the middle of nowhere sometime these cock suckers run up the price on a few necessary items.,"The fucking barber at Grand Forks used to charge eight ninty fucking five for a hair cut, and they still fucked it up. The goddamn Army Air Force Extortion Society [AAFES]strikes again.",31,21
aafes,1279430,AAFES,TheTiger,Army and Air Force Exchange Service,"Wait a sec, is it (AAFES) pronounced ay-fees or ay-fis?",18,12
aafes,1303056,AAFES,AMK17,"Army/Air Force Exchage Service. Where all the military trash shop because they think it's cheaper because it's tax free, but it's usually no cheaper/a bit more expensive than the regular stores.",Why do you want to shop at AAFES? Target is better.,17,43
